acid,country,year,quarter_of_year,month_of_year,week_of_year,freq_signup,freq_sportsapp,freq_survey,freq_raffle,freq_reviews,freq_email,freq_adiclub_email,freq_pn,freq_adiclub_pn,freq_transactions,freq_earn_points,freq_points_redemption,freq_rewards_redemption,freq_confirmed,freq_dotcom,freq_flagshipapp,freq_hype,freq_pdp,freq_plp,freq_add_to_cart,freq_preference,freq_wishlist,refresh_date,engagement_score
YH8CQT3ZBPZ8H9VL,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2024-03-04,2
LJ1IRNFN5IJ5GRST,GB,2022,4,12,50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2024-03-04,6
3YVL1H2F265WB0ZZ,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04,3
J8ICWRKXOMPWMGWZ,GB,2022,4,10,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2024-03-04,3
B68R1SRMC5JWSDT1,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,2
ZFVT7MWDNB8I8NUP,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,8,0,0,1,0,2024-03-04,18
WHR6UN31PLO5N5MG,GB,2022,4,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2024-03-04,8
WL9P0KBK4HN7ENSK,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,1,1,0,1,2024-03-04,9
R9K4NV6BVQ2W16W0,GB,2022,4,11,47,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,1,0,1,2024-03-04,9
MBH19C8HEW24JO3B,GB,2022,4,12,50,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,38,0,6,10,0,4,0,2024-03-04,62
V7RNTKHZD38LEKQ0,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04,3
38N2XZFC51NT5KON,GB,2022,4,11,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2024-03-04,7
J1NX9JSQIK3AYRDB,GB,2022,4,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,6,6,0,2,2024-03-04,30
N9RYWWCQ7XLTVO5Z,GB,2022,4,11,46,1,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,2,1,1,0,0,2024-03-04,12
31GNDJ96A72B86OS,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,6,0,0,4,2024-03-04,28
AENCQ2GW1K099IMQ,GB,2022,4,12,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2024-03-04,3
TGMLPJED19V2YHC6,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2024-03-04,2
Q7BRMEO65NEFVE4Y,GB,2022,4,11,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,1
PG1W3OLAEM3T7UXP,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04,2
UM5S2ZNOZEOZPMCH,GB,2022,4,12,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,1
M40VJXVZ8AJ565F3,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,1,1,0,0,2024-03-04,8
IL9EFLQRRXDPM34F,GB,2022,4,11,44,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2024-03-04,6
3Q487WZ6BM0ALNG4,GB,2022,4,11,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,1
965VNEQ4DK9EVETT,GB,2022,4,11,46,1,0,2,0,0,4,1,0,0,2,3,0,0,0,7,0,0,5,3,3,1,1,2024-03-04,33
INYT75DUV13RS7DY,GB,2022,4,12,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04,2
3TKTUKIO6Q7W8K9I,GB,2022,4,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2024-03-04,2
QJCBR5ODKY83T9MF,GB,2022,4,10,39,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2024-03-04,7
WDW64AYW8SKLIOHC,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,2024-03-04,6
7KZ7RVEHD1EUVQGH,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2024-03-04,3
Q2BPZ01QFQ0BGPZA,GB,2022,4,11,47,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,4,4,2,0,1,2024-03-04,18
