sports_category_descr,predicted_interaction,acid
NOT SPORTS SPECIFIC,0.9999999491515406,1CPVIYHJ1Z11KYL1
FOOTBALL/SOCCER,0.9999999392841719,1CPVIYHJ1Z11KYL1
HANDBALL,0.00033380517064765725,1CPVIYHJ1Z11KYL1
HIKING,1.4279105071560279e-08,1CPVIYHJ1Z11KYL1
SWIM,6.778477400599237e-09,1CPVIYHJ1Z11KYL1
TENNIS,1.0000000005628462,6DFOEHC6J4J9SG0M
NOT SPORTS SPECIFIC,0.9999999774126159,6DFOEHC6J4J9SG0M
HANDBALL,0.00014800339403576621,6DFOEHC6J4J9SG0M
HIKING,9.743768913272648e-09,6DFOEHC6J4J9SG0M
BASKETBALL,5.560625829839039e-09,6DFOEHC6J4J9SG0M
