sports_category_descr,predicted_interaction,acid
CYCLING,2.8828173998641192e-09,1BSMOCDPSY7A5G1H
SWIM,2.8229095701321083e-09,1BSMOCDPSY7A5G1H
ORIGINALS,0.9999999963125484,1C4D15XVZB3QKGVG
HANDBALL,6.040606899536069e-05,1C4D15XVZB3QKGVG
BASKETBALL,6.279302918842444e-09,1C4D15XVZB3QKGVG
HIKING,5.698249110312082e-09,1C4D15XVZB3QKGVG
SWIM,1.3430390534149637e-09,1C4D15XVZB3QKGVG
NOT SPORTS SPECIFIC,0.9999999768196282,1G4VEUM6FQ720A8G
HANDBALL,0.000152069803464048,1G4VEUM6FQ720A8G
HIKING,7.84522259971687e-09,1G4VEUM6FQ720A8G
SWIM,3.955567839143767e-09,1G4VEUM6FQ720A8G
BASKETBALL,3.301686901615685e-09,1G4VEUM6FQ720A8G
TRAINING,0.9999999621579262,1I8E86NSO81IEKRX
CLIMB,0.0001943689925569336,1I8E86NSO81IEKRX
SPORT STYLE,5.8709663395453355e-09,1I8E86NSO81IEKRX
OUTDOOR,3.08089909819533e-09,1I8E86NSO81IEKRX
SWIM,2.3415700195665643e-09,1I8E86NSO81IEKRX
FOOTBALL/SOCCER,0.9999999669522595,1IDOF330V8F40TAY
HANDBALL,0.00018173536718360926,1IDOF330V8F40TAY
HIKING,6.433882471626821e-09,1IDOF330V8F40TAY
CYCLING,2.8828173998641192e-09,1IDOF330V8F40TAY
SWIM,2.8229095701321083e-09,1IDOF330V8F40TAY
ORIGINALS,0.9999999963125484,1J0VW3PH8GLD7H3X
HANDBALL,6.040606899536069e-05,1J0VW3PH8GLD7H3X
BASKETBALL,6.279302918842444e-09,1J0VW3PH8GLD7H3X
HIKING,5.698249110312082e-09,1J0VW3PH8GLD7H3X
SWIM,1.3430390534149637e-09,1J0VW3PH8GLD7H3X
FOOTBALL/SOCCER,0.9999999669522595,1MEUU207UDVJTZXE
HANDBALL,0.00018173536718360926,1MEUU207UDVJTZXE
HIKING,6.433882471626821e-09,1MEUU207UDVJTZXE
CYCLING,2.8828173998641192e-09,1MEUU207UDVJTZXE
SWIM,2.8229095701321083e-09,1MEUU207UDVJTZXE
FOOTBALL/SOCCER,0.9999999669522595,2370IAKCW8N966CU
HANDBALL,0.00018173536718360926,2370IAKCW8N966CU
HIKING,6.433882471626821e-09,2370IAKCW8N966CU
CYCLING,2.8828173998641192e-09,2370IAKCW8N966CU
SWIM,2.8229095701321083e-09,2370IAKCW8N966CU
ORIGINALS,0.9999999963125484,29FPBE4BMOSI3WMB
HANDBALL,6.040606899536069e-05,29FPBE4BMOSI3WMB
BASKETBALL,6.279302918842444e-09,29FPBE4BMOSI3WMB
HIKING,5.698249110312082e-09,29FPBE4BMOSI3WMB
SWIM,1.3430390534149637e-09,29FPBE4BMOSI3WMB
FOOTBALL/SOCCER,0.9999999669522595,2G4E3QA6RXDVTM1M
HANDBALL,0.00018173536718360926,2G4E3QA6RXDVTM1M
HIKING,6.433882471626821e-09,2G4E3QA6RXDVTM1M
CYCLING,2.8828173998641192e-09,2G4E3QA6RXDVTM1M
SWIM,2.8229095701321083e-09,2G4E3QA6RXDVTM1M
RUNNING,0.9999999687644883,2GKIWJQ4XHA1JANO
OLYMPIC SPORTS,0.00017663153211532035,2GKIWJQ4XHA1JANO
HIKING,5.711352629832396e-09,2GKIWJQ4XHA1JANO
BASKETBALL,2.373699306008664e-09,2GKIWJQ4XHA1JANO
SWIM,1.0401679041198385e-09,2GKIWJQ4XHA1JANO
ORIGINALS,0.9999999963125484,2HQ7PK5M2NX4FVQS
HANDBALL,6.040606899536069e-05,2HQ7PK5M2NX4FVQS
BASKETBALL,6.279302918842444e-09,2HQ7PK5M2NX4FVQS
HIKING,5.698249110312082e-09,2HQ7PK5M2NX4FVQS
SWIM,1.3430390534149637e-09,2HQ7PK5M2NX4FVQS
RUNNING,0.9999999687644883,2NGFOKW723I10KWS
OLYMPIC SPORTS,0.00017663153211532035,2NGFOKW723I10KWS
HIKING,5.711352629832396e-09,2NGFOKW723I10KWS
BASKETBALL,2.373699306008664e-09,2NGFOKW723I10KWS
SWIM,1.0401679041198385e-09,2NGFOKW723I10KWS
NOT SPORTS SPECIFIC,0.9999999768196282,2NO5IJKEOE9FCWYR
HANDBALL,0.000152069803464048,2NO5IJKEOE9FCWYR
HIKING,7.84522259971687e-09,2NO5IJKEOE9FCWYR
SWIM,3.955567839143767e-09,2NO5IJKEOE9FCWYR
BASKETBALL,3.301686901615685e-09,2NO5IJKEOE9FCWYR
ORIGINALS,0.9999999963125484,2TEAMB53BXPUV32G
HANDBALL,6.040606899536069e-05,2TEAMB53BXPUV32G
BASKETBALL,6.279302918842444e-09,2TEAMB53BXPUV32G
HIKING,5.698249110312082e-09,2TEAMB53BXPUV32G
SWIM,1.3430390534149637e-09,2TEAMB53BXPUV32G
TRAINING,0.9999999621579262,32ETXO5J2HDOLPS4
CLIMB,0.0001943689925569336,32ETXO5J2HDOLPS4
SPORT STYLE,5.8709663395453355e-09,32ETXO5J2HDOLPS4
OUTDOOR,3.08089909819533e-09,32ETXO5J2HDOLPS4
SWIM,2.3415700195665643e-09,32ETXO5J2HDOLPS4
TRAINING,0.9999999621579262,32XO1DBEH0BN1I52
CLIMB,0.0001943689925569336,32XO1DBEH0BN1I52
SPORT STYLE,5.8709663395453355e-09,32XO1DBEH0BN1I52
OUTDOOR,3.08089909819533e-09,32XO1DBEH0BN1I52
